"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: National ART Register Column Mapping"
"NgHivArtRegister","NgHivArtRegister","","","",0,*,"","","","null {[]} {[]}
","NG HIV National ART Register","Logical model for the patient-level Nigeria National ART Register. One model
instance represents a facility cohort page for a reporting month and contains
repeatable client entries corresponding to register rows A1 through A35.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"NgHivArtRegister.identifier","NgHivArtRegister.identifier","","","",1,1,"","","","Identifier {[]} {[]}
","Register identifier","Identifier assigned to the facility ART register cohort page or electronic equivalent.","","","","","","","","","",,,,,"",,,,"NgHivArtRegister.identifier",1,1,"",""
"NgHivArtRegister.facility","NgHivArtRegister.facility","","","",0,1,"","","","Reference {[]} {[CanonicalType[https://fhir-ig.digitalhealth.gov.ng/StructureDefinition/ng-organization]]}
","Facility reference","FHIR reference to the facility maintaining the register.","","","","","","","","","",,,,,"",,,,"NgHivArtRegister.facility",0,1,"",""
"NgHivArtRegister.facilityName","NgHivArtRegister.facilityName","","","",1,1,"","","","string {[]} {[]}
","Facility name","Name of the facility maintaining the register.","","","","","","","","","",,,,,"",,,,"NgHivArtRegister.facilityName",1,1,"","","Header: Facility name"
"NgHivArtRegister.lga","NgHivArtRegister.lga","","","",1,1,"","","","Coding {[]} {[]}
","LGA","Local Government Area in which the facility is located.","","","","","","","","","",,"required","","https://fhir-ig.digitalhealth.gov.ng/ValueSet/ng-lgas-vs","",,,,"NgHivArtRegister.lga",1,1,"","","Header: LGA"
"NgHivArtRegister.state","NgHivArtRegister.state","","","",1,1,"","","","Coding {[]} {[]}
","State","State in which the facility is located.","","","","","","","","","",,"required","","https://fhir-ig.digitalhealth.gov.ng/ValueSet/ng-states-vs","",,,,"NgHivArtRegister.state",1,1,"","","Header: State"
"NgHivArtRegister.reportingPeriod","NgHivArtRegister.reportingPeriod","","","",1,1,"","","","Period {[]} {[]}
","Reporting month and year","The monthly cohort period represented by the register page.","","","","","","","","","",,,,,"",,,,"NgHivArtRegister.reportingPeriod",1,1,"","","Header: Month and Year"
"NgHivArtRegister.entry","NgHivArtRegister.entry","","","",1,*,"","","","BackboneElement {[]} {[]}
","ART register entry","One patient-level row of the National ART Register.","","","","","","","","","",,,,,"",,,,"NgHivArtRegister.entry",1,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"NgHivArtRegister.entry.id","NgHivArtRegister.entry.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"NgHivArtRegister.entry.extension","NgHivArtRegister.entry.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
