"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: NG HIV Pharmacy Daily Worksheet Column Mapping"
"NgHivPharmacyDailyWorksheet","NgHivPharmacyDailyWorksheet","","","",0,*,"","","","null {[]} {[]}
","NG HIV Pharmacy Daily Worksheet","Logical model for the revised Nigeria HIV Pharmacy Daily Worksheet. One
instance represents one pharmacist worksheet for one dispensing date and
contains repeatable patient-level dispensing entries corresponding to
printed fields W1 through W73.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"NgHivPharmacyDailyWorksheet.identifier","NgHivPharmacyDailyWorksheet.identifier","","","",1,1,"","","","Identifier {[]} {[]}
","Worksheet identifier","Identifier assigned to the Pharmacy Daily Worksheet instance.","","","","","","","","","",,,,,"",,,,"NgHivPharmacyDailyWorksheet.identifier",1,1,"",""
"NgHivPharmacyDailyWorksheet.worksheetNumber","NgHivPharmacyDailyWorksheet.worksheetNumber","","","",1,1,"","","","string {[]} {[]}
","Worksheet number","Continuous worksheet number. The supporting SOP permits a pharmacist-specific alphabetical suffix in facilities with multiple dispensing points.","","","","","","","","","",,,,,"",,,,"NgHivPharmacyDailyWorksheet.worksheetNumber",1,1,"","","Header: Worksheet No"
"NgHivPharmacyDailyWorksheet.facility","NgHivPharmacyDailyWorksheet.facility","","","",0,1,"","","","Reference {[]} {[CanonicalType[https://fhir-ig.digitalhealth.gov.ng/StructureDefinition/ng-organization]]}
","Facility reference","Reference to the dispensing facility, when available.","","","","","","","","","",,,,,"",,,,"NgHivPharmacyDailyWorksheet.facility",0,1,"",""
"NgHivPharmacyDailyWorksheet.state","NgHivPharmacyDailyWorksheet.state","","","",1,1,"","","","Coding {[]} {[]}
","State","State where the dispensing facility is located.","","","","","","","","","",,"required","","https://fhir-ig.digitalhealth.gov.ng/ValueSet/ng-states-vs","",,,,"NgHivPharmacyDailyWorksheet.state",1,1,"","","Header: State"
"NgHivPharmacyDailyWorksheet.lga","NgHivPharmacyDailyWorksheet.lga","","","",1,1,"","","","Coding {[]} {[]}
","LGA","Local Government Area where the dispensing facility is located.","","","","","","","","","",,"required","","https://fhir-ig.digitalhealth.gov.ng/ValueSet/ng-lgas-vs","",,,,"NgHivPharmacyDailyWorksheet.lga",1,1,"","","Header: LGA"
"NgHivPharmacyDailyWorksheet.facilityName","NgHivPharmacyDailyWorksheet.facilityName","","","",1,1,"","","","string {[]} {[]}
","Facility name","Official name of the dispensing facility.","","","","","","","","","",,,,,"",,,,"NgHivPharmacyDailyWorksheet.facilityName",1,1,"","","Header: Facility Name"
"NgHivPharmacyDailyWorksheet.dispensingDate","NgHivPharmacyDailyWorksheet.dispensingDate","","","",1,1,"","","","date {[]} {[]}
","Dispensing date","Date on which medicines were dispensed and recorded on this worksheet.","","","","","","","","","",,,,,"",,,,"NgHivPharmacyDailyWorksheet.dispensingDate",1,1,"","","Header: Date"
"NgHivPharmacyDailyWorksheet.entry","NgHivPharmacyDailyWorksheet.entry","","","",1,*,"","","","BackboneElement {[]} {[]}
","Patient dispensing entry","One patient-level row in the Pharmacy Daily Worksheet. The printed page provides fifteen rows.","","","","","","","","","",,,,,"",,,,"NgHivPharmacyDailyWorksheet.entry",1,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"NgHivPharmacyDailyWorksheet.entry.id","NgHivPharmacyDailyWorksheet.entry.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
