"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: NG HIV Tracking Register Column Mapping"
"NgHivTrackingRegister","NgHivTrackingRegister","","","",0,*,"","","","null {[]} {[]}
","NG HIV Tracking Register","Logical model for the Nigeria HIV Tracking Register. One instance represents
one facility monthly tracking page and contains repeatable client entries for
current ART clients who missed a scheduled clinic appointment. The printed
register instructs facilities to enter eligible clients within 24 hours of
default.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"NgHivTrackingRegister.identifier","NgHivTrackingRegister.identifier","","","",1,1,"","","","Identifier {[]} {[]}
","Register identifier","Identifier assigned to the monthly HIV Tracking Register page or its electronic equivalent.","","","","","","","","","",,,,,"",,,,"NgHivTrackingRegister.identifier",1,1,"",""
"NgHivTrackingRegister.facility","NgHivTrackingRegister.facility","","","",0,1,"","","","Reference {[]} {[CanonicalType[https://fhir-ig.digitalhealth.gov.ng/StructureDefinition/ng-organization]]}
","Facility reference","Reference to the facility maintaining the tracking register, when available.","","","","","","","","","",,,,,"",,,,"NgHivTrackingRegister.facility",0,1,"",""
"NgHivTrackingRegister.state","NgHivTrackingRegister.state","","","",1,1,"","","","Coding {[]} {[]}
","T1 State","State where the facility is located.","","","","","","","","","",,"required","","https://fhir-ig.digitalhealth.gov.ng/ValueSet/ng-states-vs","",,,,"NgHivTrackingRegister.state",1,1,"","","T1"
"NgHivTrackingRegister.lga","NgHivTrackingRegister.lga","","","",1,1,"","","","Coding {[]} {[]}
","T2 LGA","Local Government Area where the facility is located.","","","","","","","","","",,"required","","https://fhir-ig.digitalhealth.gov.ng/ValueSet/ng-lgas-vs","",,,,"NgHivTrackingRegister.lga",1,1,"","","T2"
"NgHivTrackingRegister.facilityName","NgHivTrackingRegister.facilityName","","","",1,1,"","","","string {[]} {[]}
","T3 Facility name","Official name of the facility maintaining the register.","","","","","","","","","",,,,,"",,,,"NgHivTrackingRegister.facilityName",1,1,"","","T3"
"NgHivTrackingRegister.reportingPeriod","NgHivTrackingRegister.reportingPeriod","","","",1,1,"","","","Period {[]} {[]}
","T4–T5 Month and year","Month and year in which clients missed their appointments. Each month begins on a new register page.","","","","","","","","","",,,,,"",,,,"NgHivTrackingRegister.reportingPeriod",1,1,"","","T4 Month / T5 Year"
