"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: NG LGA/Health Facility TB Central Register Column Mapping"
"NgTBCentralRegister","NgTBCentralRegister","","","",0,*,"","","","null {[]} {[]}
","NG LGA/Health Facility Tuberculosis Central Register","Logical model for the Nigeria National Tuberculosis and Leprosy Control
Programme NTBLCP/TB 08 Local Government Area/Health Facility Tuberculosis
Central Register. One model instance represents a TB central register and
contains repeatable patient entries covering registration, treatment
initiation, disease classification, referral, bacteriological monitoring,
treatment outcome and TB/HIV activities.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"NgTBCentralRegister.identifier","NgTBCentralRegister.identifier","","","",0,1,"","","","Identifier {[]} {[]}
","Register identifier","Identifier assigned to the LGA/Health Facility TB Central Register or its electronic equivalent.","","","","","","","","","",,,,,"",,,,"NgTBCentralRegister.identifier",0,1,"",""
"NgTBCentralRegister.managingFacility","NgTBCentralRegister.managingFacility","","","",0,1,"","","","Reference {[]} {[CanonicalType[https://fhir-ig.digitalhealth.gov.ng/StructureDefinition/ng-organization]]}
","Managing facility","Reference to the health facility or LGA TB service maintaining the register, when available.","","","","","","","","","",,,,,"",,,,"NgTBCentralRegister.managingFacility",0,1,"",""
"NgTBCentralRegister.entry","NgTBCentralRegister.entry","","","",1,*,"","","","BackboneElement {[]} {[]}
","TB central register entry","One longitudinal patient row spanning the left and right pages of the NTBLCP/TB 08 register.","","","","","","","","","",,,,,"",,,,"NgTBCentralRegister.entry",1,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"NgTBCentralRegister.entry.id","NgTBCentralRegister.entry.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"NgTBCentralRegister.entry.extension","NgTBCentralRegister.entry.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"NgTBCentralRegister.entry.modifierExtension","NgTBCentralRegister.entry.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"NgTBCentralRegister.entry.subject","NgTBCentralRegister.entry.subject","","","",0,1,"","","","Reference {[]} {[CanonicalType[https://fhir-ig.digitalhealth.gov.ng/StructureDefinition/ng-patient]]}
","Patient reference","Reference to the corresponding Nigeria Core Patient resource, when available.","","","","","","","","","",,,,,"",,,,"NgTBCentralRegister.entry.subject",0,1,"",""
"NgTBCentralRegister.entry.serialNumber","NgTBCentralRegister.entry.serialNumber","","","",1,1,"","","","positiveInt {[]} {[]}
","Serial number","Sequential number assigned to the patient within the register.","","","","","","","","","",,,,,"",,,,"NgTBCentralRegister.entry.serialNumber",1,1,"","","LEFT: Serial Number"
"NgTBCentralRegister.entry.dateRegistered","NgTBCentralRegister.entry.dateRegistered","","","",1,1,"","","","date {[]} {[]}
","Date registered","Date the LGTBLS assigned the patient the LGA TB number; this is distinct from the treatment start date.","","","","","","","","","",,,,,"",,,,"NgTBCentralRegister.entry.dateRegistered",1,1,"","","LEFT: Date registered"
"NgTBCentralRegister.entry.lgaTbNumber","NgTBCentralRegister.entry.lgaTbNumber","","","",1,1,"","","","string {[]} {[]}
","LGA TB number","LGA TB registration number assigned to the patient.","","","","","","","","","",,,,,"",,,,"NgTBCentralRegister.entry.lgaTbNumber",1,1,"","","LEFT: Registration Number - LGA TB Number"
"NgTBCentralRegister.entry.eTbManagerUniqueNumber","NgTBCentralRegister.entry.eTbManagerUniqueNumber","","","",0,1,"","","","string {[]} {[]}
","e-TB Manager unique number","Patient number on e-TB Manager, provided following programme validation.","","","","","","","","","",,,,,"",,,,"NgTBCentralRegister.entry.eTbManagerUniqueNumber",0,1,"","","LEFT: Registration Number - e-TB Manager Unique Number"
"NgTBCentralRegister.entry.patientName","NgTBCentralRegister.entry.patientName","","","",1,1,"","","","string {[]} {[]}
","Name of patient","Full name of the patient as recorded in the register.","","","","","","","","","",,,,,"",,,,"NgTBCentralRegister.entry.patientName",1,1,"","","LEFT: Name of Patient"
"NgTBCentralRegister.entry.sex","NgTBCentralRegister.entry.sex","","","",1,1,"","","","Coding {[]} {[]}
","Sex","Patient sex. The source register records M or F.","","","","","","","","","",,"required","","https://fhir-ig.digitalhealth.gov.ng/ValueSet/ng-gender-vs","",,,,"NgTBCentralRegister.entry.sex",1,1,"","","LEFT: Sex (M/F)"
"NgTBCentralRegister.entry.ageYears","NgTBCentralRegister.entry.ageYears","","","",1,1,"","","","integer {[]} {[]}
","Age","Patient age in years.","","","","","","","","","",,,,,"",,,,"NgTBCentralRegister.entry.ageYears",1,1,"","","LEFT: Age in years"
"NgTBCentralRegister.entry.patientAddress","NgTBCentralRegister.entry.patientAddress","","","",0,1,"","","","string {[]} {[]}
","Patient address","Full residential address of the patient.","","","","","","","","","",,,,,"",,,,"NgTBCentralRegister.entry.patientAddress",0,1,"","","LEFT: Patient address"
"NgTBCentralRegister.entry.treatmentStartFacility","NgTBCentralRegister.entry.treatmentStartFacility","","","",0,1,"","","","Reference {[]} {[CanonicalType[https://fhir-ig.digitalhealth.gov.ng/StructureDefinition/ng-organization]]}
","Treatment-start facility reference","Reference to the facility where the patient started TB treatment, when available.","","","","","","","","","",,,,,"",,,,"NgTBCentralRegister.entry.treatmentStartFacility",0,1,"",""
"NgTBCentralRegister.entry.treatmentStartFacilityName","NgTBCentralRegister.entry.treatmentStartFacilityName","","","",1,1,"","","","string {[]} {[]}
","Facility where patient started treatment","Name of the facility where the patient commenced TB treatment.","","","","","","","","","",,,,,"",,,,"NgTBCentralRegister.entry.treatmentStartFacilityName",1,1,"","","LEFT: Facility where patient started treatment"
"NgTBCentralRegister.entry.weightAtTreatmentStartKg","NgTBCentralRegister.entry.weightAtTreatmentStartKg","","","",0,1,"","","","decimal {[]} {[]}
","Weight at start of treatment","Patient weight in kilograms at the start of TB treatment.","","","","","","","","","",,,,,"",,,,"NgTBCentralRegister.entry.weightAtTreatmentStartKg",0,1,"","","LEFT: Weight at the start of treatment"
"NgTBCentralRegister.entry.treatmentRegimen","NgTBCentralRegister.entry.treatmentRegimen","","","",1,1,"","","","code {[]} {[]}
","Treatment regimen","TB treatment regimen recorded in the source register.
Expected source values are:
R-6 = 6 months regimen;
R-12 = 12 months regimen.","","","","","","","","","",,,,,"",,,,"NgTBCentralRegister.entry.treatmentRegimen",1,1,"","","LEFT: Treatment Regimen"
"NgTBCentralRegister.entry.treatmentStartDate","NgTBCentralRegister.entry.treatmentStartDate","","","",1,1,"","","","date {[]} {[]}
","Date treatment started","Date TB treatment was initiated.","","","","","","","","","",,,,,"",,,,"NgTBCentralRegister.entry.treatmentStartDate",1,1,"","","LEFT: Date treatment started"
"NgTBCentralRegister.entry.referredFromCommunity","NgTBCentralRegister.entry.referredFromCommunity","","","",0,1,"","","","boolean {[]} {[]}
","Referred from community","Indicates whether the patient was referred through a Community Volunteer, Community TB Worker or Community Informant.","","","","","","","","","",,,,,"",,,,"NgTBCentralRegister.entry.referredFromCommunity",0,1,"","","LEFT: Referred from the community? Y/N"
"NgTBCentralRegister.entry.referredFromPpmSite","NgTBCentralRegister.entry.referredFromPpmSite","","","",0,1,"","","","boolean {[]} {[]}
","Referred from PPM site","Indicates whether the patient was referred from a PPM-related service delivery point.","","","","","","","","","",,,,,"",,,,"NgTBCentralRegister.entry.referredFromPpmSite",0,1,"","","LEFT: Referred from PPM site?"
