"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: NG TB Community and Facility Referral Register Column Mapping"
"NgTBCommunityFacilityReferralRegister","NgTBCommunityFacilityReferralRegister","","","",0,*,"","","","null {[]} {[]}
","NG TB Community and Facility Referral Register","Logical model for the Nigeria National Tuberculosis and Leprosy Control
Programme Tuberculosis Referral Register for Community and Facility.
One model instance represents one site-level monthly referral register
and contains repeatable client entries covering demographics, referral
date and reason, receiving facility, confirmation of TB, treatment
initiation and remarks.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"NgTBCommunityFacilityReferralRegister.identifier","NgTBCommunityFacilityReferralRegister.identifier","","","",0,1,"","","","Identifier {[]} {[]}
","Register identifier","Identifier assigned to the community and facility TB referral register or its electronic equivalent.","","","","","","","","","",,,,,"",,,,"NgTBCommunityFacilityReferralRegister.identifier",0,1,"",""
"NgTBCommunityFacilityReferralRegister.site","NgTBCommunityFacilityReferralRegister.site","","","",0,1,"","","","Reference {[]} {[CanonicalType[https://fhir-ig.digitalhealth.gov.ng/StructureDefinition/ng-organization]]}
","Site reference","Reference to the site maintaining the referral register, when available.","","","","","","","","","",,,,,"",,,,"NgTBCommunityFacilityReferralRegister.site",0,1,"",""
"NgTBCommunityFacilityReferralRegister.siteName","NgTBCommunityFacilityReferralRegister.siteName","","","",1,1,"","","","string {[]} {[]}
","Name of site","Name of the site maintaining the TB referral register.","","","","","","","","","",,,,,"",,,,"NgTBCommunityFacilityReferralRegister.siteName",1,1,"","","Header: Name of site"
"NgTBCommunityFacilityReferralRegister.state","NgTBCommunityFacilityReferralRegister.state","","","",1,1,"","","","Coding {[]} {[]}
","State","State in which the reporting site is located.","","","","","","","","","",,"required","","https://fhir-ig.digitalhealth.gov.ng/ValueSet/ng-states-vs","",,,,"NgTBCommunityFacilityReferralRegister.state",1,1,"","","Header: State"
"NgTBCommunityFacilityReferralRegister.lga","NgTBCommunityFacilityReferralRegister.lga","","","",1,1,"","","","Coding {[]} {[]}
","LGA","Local Government Area in which the reporting site is located.","","","","","","","","","",,"required","","https://fhir-ig.digitalhealth.gov.ng/ValueSet/ng-lgas-vs","",,,,"NgTBCommunityFacilityReferralRegister.lga",1,1,"","","Header: LGA"
"NgTBCommunityFacilityReferralRegister.ward","NgTBCommunityFacilityReferralRegister.ward","","","",0,1,"","","","Coding {[]} {[]}
","Ward","Administrative ward in which the reporting site is located.","","","","","","","","","",,"required","","https://fhir-ig.digitalhealth.gov.ng/ValueSet/ng-wards-vs","",,,,"NgTBCommunityFacilityReferralRegister.ward",0,1,"","","Header: Ward"
"NgTBCommunityFacilityReferralRegister.reportingPeriod","NgTBCommunityFacilityReferralRegister.reportingPeriod","","","",1,1,"","","","Period {[]} {[]}
","Reporting period","Monthly reporting period represented by the Month and Year fields in the source register.","","","","","","","","","",,,,,"",,,,"NgTBCommunityFacilityReferralRegister.reportingPeriod",1,1,"","","Header: Month / Year"
"NgTBCommunityFacilityReferralRegister.entry","NgTBCommunityFacilityReferralRegister.entry","","","",1,*,"","","","BackboneElement {[]} {[]}
","Referral register entry","One client-level referral row in the community and facility TB referral register.","","","","","","","","","",,,,,"",,,,"NgTBCommunityFacilityReferralRegister.entry",1,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"NgTBCommunityFacilityReferralRegister.entry.id","NgTBCommunityFacilityReferralRegister.entry.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"NgTBCommunityFacilityReferralRegister.entry.extension","NgTBCommunityFacilityReferralRegister.entry.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"NgTBCommunityFacilityReferralRegister.entry.modifierExtension","NgTBCommunityFacilityReferralRegister.entry.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"NgTBCommunityFacilityReferralRegister.entry.subject","NgTBCommunityFacilityReferralRegister.entry.subject","","","",0,1,"","","","Reference {[]} {[CanonicalType[https://fhir-ig.digitalhealth.gov.ng/StructureDefinition/ng-patient]]}
","Patient reference","Reference to the corresponding Nigeria Core Patient resource, when available.","","","","","","","","","",,,,,"",,,,"NgTBCommunityFacilityReferralRegister.entry.subject",0,1,"",""
"NgTBCommunityFacilityReferralRegister.entry.serialNumber","NgTBCommunityFacilityReferralRegister.entry.serialNumber","","","",1,1,"","","","positiveInt {[]} {[]}
","Serial number","Sequential number assigned to the client within the register.","","","","","","","","","",,,,,"",,,,"NgTBCommunityFacilityReferralRegister.entry.serialNumber",1,1,"","","S/N"
"NgTBCommunityFacilityReferralRegister.entry.clientName","NgTBCommunityFacilityReferralRegister.entry.clientName","","","",1,1,"","","","string {[]} {[]}
","Name of client","Full name of the client referred for TB services.","","","","","","","","","",,,,,"",,,,"NgTBCommunityFacilityReferralRegister.entry.clientName",1,1,"","","Name of Client"
"NgTBCommunityFacilityReferralRegister.entry.address","NgTBCommunityFacilityReferralRegister.entry.address","","","",0,1,"","","","string {[]} {[]}
","Address in full","Full residential address of the client.","","","","","","","","","",,,,,"",,,,"NgTBCommunityFacilityReferralRegister.entry.address",0,1,"","","Address in full"
"NgTBCommunityFacilityReferralRegister.entry.ageYears","NgTBCommunityFacilityReferralRegister.entry.ageYears","","","",1,1,"","","","integer {[]} {[]}
","Age","Client age in years.","","","","","","","","","",,,,,"",,,,"NgTBCommunityFacilityReferralRegister.entry.ageYears",1,1,"","","Age (Yr)"
"NgTBCommunityFacilityReferralRegister.entry.sex","NgTBCommunityFacilityReferralRegister.entry.sex","","","",1,1,"","","","Coding {[]} {[]}
","Sex","Client sex. The source register records M or F.","","","","","","","","","",,"required","","https://fhir-ig.digitalhealth.gov.ng/ValueSet/ng-gender-vs","",,,,"NgTBCommunityFacilityReferralRegister.entry.sex",1,1,"","","Sex (M/F)"
"NgTBCommunityFacilityReferralRegister.entry.telephoneNumber","NgTBCommunityFacilityReferralRegister.entry.telephoneNumber","","","",0,1,"","","","string {[]} {[]}
","Telephone number","Client telephone number.","","","","","","","","","",,,,,"",,,,"NgTBCommunityFacilityReferralRegister.entry.telephoneNumber",0,1,"","","Telephone number"
"NgTBCommunityFacilityReferralRegister.entry.referralDate","NgTBCommunityFacilityReferralRegister.entry.referralDate","","","",1,1,"","","","date {[]} {[]}
","Date of referral","Date the client was referred for TB-related services.","","","","","","","","","",,,,,"",,,,"NgTBCommunityFacilityReferralRegister.entry.referralDate",1,1,"","","Date of Referral"
"NgTBCommunityFacilityReferralRegister.entry.referralReason","NgTBCommunityFacilityReferralRegister.entry.referralReason","","","",1,1,"","","","code {[]} {[]}
","Reason for referral","Reason the client was referred.

Source codes are:
D = Diagnosis;
Tx = Treatment;
ADR = Adverse Reaction to drugs;
O = Other.","","","","","","","","","",,,,,"",,,,"NgTBCommunityFacilityReferralRegister.entry.referralReason",1,1,"","","Reason for referral"
"NgTBCommunityFacilityReferralRegister.entry.otherReferralReason","NgTBCommunityFacilityReferralRegister.entry.otherReferralReason","","","",0,1,"","","","string {[]} {[]}
","Other reason for referral","Narrative description when referralReason is Other.","","","","","","","","","",,,,,"",,,,"NgTBCommunityFacilityReferralRegister.entry.otherReferralReason",0,1,"",""
"NgTBCommunityFacilityReferralRegister.entry.receivingFacility","NgTBCommunityFacilityReferralRegister.entry.receivingFacility","","","",0,1,"","","","Reference {[]} {[CanonicalType[https://fhir-ig.digitalhealth.gov.ng/StructureDefinition/ng-organization]]}
","Receiving facility reference","Reference to the health facility to which the client was referred, when available.","","","","","","","","","",,,,,"",,,,"NgTBCommunityFacilityReferralRegister.entry.receivingFacility",0,1,"",""
"NgTBCommunityFacilityReferralRegister.entry.receivingFacilityName","NgTBCommunityFacilityReferralRegister.entry.receivingFacilityName","","","",1,1,"","","","string {[]} {[]}
","Name of receiving facility","Name of the facility to which the client was referred.","","","","","","","","","",,,,,"",,,,"NgTBCommunityFacilityReferralRegister.entry.receivingFacilityName",1,1,"","","Name of receiving facility"
"NgTBCommunityFacilityReferralRegister.entry.tbConfirmed","NgTBCommunityFacilityReferralRegister.entry.tbConfirmed","","","",0,1,"","","","boolean {[]} {[]}
","TB confirmed","Indicates whether TB was confirmed following the referral.","","","","","","","","","",,,,,"",,,,"NgTBCommunityFacilityReferralRegister.entry.tbConfirmed",0,1,"","","TB Confirmed (Yes/No)"
"NgTBCommunityFacilityReferralRegister.entry.treatmentStartDate","NgTBCommunityFacilityReferralRegister.entry.treatmentStartDate","","","",0,1,"","","","date {[]} {[]}
","Date treatment started","Date TB treatment was started following referral, when applicable.","","","","","","","","","",,,,,"",,,,"NgTBCommunityFacilityReferralRegister.entry.treatmentStartDate",0,1,"","","Date Treatment started"
"NgTBCommunityFacilityReferralRegister.entry.remarks","NgTBCommunityFacilityReferralRegister.entry.remarks","","","",0,1,"","","","string {[]} {[]}
","Remarks","Additional information regarding the referral, diagnostic outcome, treatment initiation or follow-up.","","","","","","","","","",,,,,"",,,,"NgTBCommunityFacilityReferralRegister.entry.remarks",0,1,"","","Remarks"
