"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: NG TB Laboratory Register Column Mapping"
"NgTBLaboratoryRegister","NgTBLaboratoryRegister","","","",0,*,"","","","null {[]} {[]}
","NG TB Laboratory Register","Logical model for the Nigeria National Tuberculosis and Leprosy Control
Programme NTBLCP/TB 04 TB Laboratory Register for Xpert MTB/RIF assay,
AFB microscopy and other TB diagnostic tests. One model instance represents
a laboratory register and contains repeatable laboratory entries corresponding
to individual patient/specimen rows in the source register.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"NgTBLaboratoryRegister.identifier","NgTBLaboratoryRegister.identifier","","","",0,1,"","","","Identifier {[]} {[]}
","Register identifier","Identifier assigned to the TB laboratory register or its electronic equivalent.","","","","","","","","","",,,,,"",,,,"NgTBLaboratoryRegister.identifier",0,1,"",""
"NgTBLaboratoryRegister.laboratory","NgTBLaboratoryRegister.laboratory","","","",0,1,"","","","Reference {[]} {[CanonicalType[https://fhir-ig.digitalhealth.gov.ng/StructureDefinition/ng-organization]]}
","Laboratory reference","Reference to the laboratory maintaining the register, when available.","","","","","","","","","",,,,,"",,,,"NgTBLaboratoryRegister.laboratory",0,1,"",""
"NgTBLaboratoryRegister.laboratoryName","NgTBLaboratoryRegister.laboratoryName","","","",1,1,"","","","string {[]} {[]}
","Name of laboratory","Name of the laboratory maintaining the NTBLCP/TB 04 register.","","","","","","","","","",,,,,"",,,,"NgTBLaboratoryRegister.laboratoryName",1,1,"","","Header: Name of Laboratory"
"NgTBLaboratoryRegister.lga","NgTBLaboratoryRegister.lga","","","",1,1,"","","","Coding {[]} {[]}
","LGA","Local Government Area in which the laboratory is located.","","","","","","","","","",,"required","","https://fhir-ig.digitalhealth.gov.ng/ValueSet/ng-lgas-vs","",,,,"NgTBLaboratoryRegister.lga",1,1,"","","Header: LGA"
"NgTBLaboratoryRegister.entry","NgTBLaboratoryRegister.entry","","","",1,*,"","","","BackboneElement {[]} {[]}
","Laboratory register entry","One patient/specimen row in the NTBLCP/TB 04 TB Laboratory Register.","","","","","","","","","",,,,,"",,,,"NgTBLaboratoryRegister.entry",1,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"NgTBLaboratoryRegister.entry.id","NgTBLaboratoryRegister.entry.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"NgTBLaboratoryRegister.entry.extension","NgTBLaboratoryRegister.entry.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"NgTBLaboratoryRegister.entry.modifierExtension","NgTBLaboratoryRegister.entry.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"NgTBLaboratoryRegister.entry.subject","NgTBLaboratoryRegister.entry.subject","","","",0,1,"","","","Reference {[]} {[CanonicalType[https://fhir-ig.digitalhealth.gov.ng/StructureDefinition/ng-patient]]}
","Patient reference","Reference to the corresponding Nigeria Core Patient resource, when available.","","","","","","","","","",,,,,"",,,,"NgTBLaboratoryRegister.entry.subject",0,1,"",""
"NgTBLaboratoryRegister.entry.laboratorySerialNumber","NgTBLaboratoryRegister.entry.laboratorySerialNumber","","","",1,1,"","","","string {[]} {[]}
","Laboratory serial number","Laboratory-assigned serial number for the specimen or examination.","","","","","","","","","",,,,,"",,,,"NgTBLaboratoryRegister.entry.laboratorySerialNumber",1,1,"","","Laboratory serial number"
"NgTBLaboratoryRegister.entry.specimenIdentificationNumber","NgTBLaboratoryRegister.entry.specimenIdentificationNumber","","","",1,1,"","","","string {[]} {[]}
","Specimen identification number","Specimen identification number recorded on the laboratory register.","","","","","","","","","",,,,,"",,,,"NgTBLaboratoryRegister.entry.specimenIdentificationNumber",1,1,"","","Specimen Identification Number"
"NgTBLaboratoryRegister.entry.specimenReceivedDate","NgTBLaboratoryRegister.entry.specimenReceivedDate","","","",1,1,"","","","date {[]} {[]}
","Date specimen received","Date the specimen was received in the laboratory.","","","","","","","","","",,,,,"",,,,"NgTBLaboratoryRegister.entry.specimenReceivedDate",1,1,"","","Date specimen was received in the lab"
"NgTBLaboratoryRegister.entry.specimenAccepted","NgTBLaboratoryRegister.entry.specimenAccepted","","","",1,1,"","","","boolean {[]} {[]}
","Specimen accepted","True when the specimen was accepted by the laboratory; false when rejected.","","","","","","","","","",,,,,"",,,,"NgTBLaboratoryRegister.entry.specimenAccepted",1,1,"","","Specimen Status: Accepted / Rejected"
"NgTBLaboratoryRegister.entry.specimenRejectionReason","NgTBLaboratoryRegister.entry.specimenRejectionReason","","","",0,1,"","","","string {[]} {[]}
","Reason specimen rejected","Reason for specimen rejection when specimenAccepted is false.","","","","","","","","","",,,,,"",,,,"NgTBLaboratoryRegister.entry.specimenRejectionReason",0,1,"","","If rejected specify reason"
"NgTBLaboratoryRegister.entry.patientName","NgTBLaboratoryRegister.entry.patientName","","","",1,1,"","","","string {[]} {[]}
","Patient name","Name of the patient as recorded in the laboratory register.","","","","","","","","","",,,,,"",,,,"NgTBLaboratoryRegister.entry.patientName",1,1,"","","Patient Data: Patient Name"
"NgTBLaboratoryRegister.entry.sex","NgTBLaboratoryRegister.entry.sex","","","",1,1,"","","","Coding {[]} {[]}
","Sex","Patient sex. The source register records M or F.","","","","","","","","","",,"required","","https://fhir-ig.digitalhealth.gov.ng/ValueSet/ng-gender-vs","",,,,"NgTBLaboratoryRegister.entry.sex",1,1,"","","Patient Data: Sex (insert M or F)"
"NgTBLaboratoryRegister.entry.age","NgTBLaboratoryRegister.entry.age","","","",1,1,"","","","integer {[]} {[]}
","Age","Patient age recorded in the laboratory register.","","","","","","","","","",,,,,"",,,,"NgTBLaboratoryRegister.entry.age",1,1,"","","Patient Data: Age"
"NgTBLaboratoryRegister.entry.patientAddress","NgTBLaboratoryRegister.entry.patientAddress","","","",0,1,"","","","string {[]} {[]}
","Patient address","Patient address recorded in the laboratory register.","","","","","","","","","",,,,,"",,,,"NgTBLaboratoryRegister.entry.patientAddress",0,1,"","","Patient Data: Patient Address"
"NgTBLaboratoryRegister.entry.referringHealthFacility","NgTBLaboratoryRegister.entry.referringHealthFacility","","","",0,1,"","","","Reference {[]} {[CanonicalType[https://fhir-ig.digitalhealth.gov.ng/StructureDefinition/ng-organization]]}
","Referring health facility reference","Reference to the facility from which the patient or specimen was referred, when available.","","","","","","","","","",,,,,"",,,,"NgTBLaboratoryRegister.entry.referringHealthFacility",0,1,"",""
"NgTBLaboratoryRegister.entry.referringHealthFacilityName","NgTBLaboratoryRegister.entry.referringHealthFacilityName","","","",0,1,"","","","string {[]} {[]}
","Referring health facility","Name of the facility from which the patient or specimen was referred.","","","","","","","","","",,,,,"",,,,"NgTBLaboratoryRegister.entry.referringHealthFacilityName",0,1,"","","Patient Data: Referring health facility"
"NgTBLaboratoryRegister.entry.presumptiveTBType","NgTBLaboratoryRegister.entry.presumptiveTBType","","","",0,1,"","","","code {[]} {[]}
","Type of presumptive TB","Type of presumptive TB recorded in the source register. Expected source values are DS-TB or DR-TB.","","","","","","","","","",,,,,"",,,,"NgTBLaboratoryRegister.entry.presumptiveTBType",0,1,"","","Patient Data: Type of Presumptive - DS-TB / DR-TB"
"NgTBLaboratoryRegister.entry.siteOfDisease","NgTBLaboratoryRegister.entry.siteOfDisease","","","",0,1,"","","","code {[]} {[]}
","Site of disease","Site of TB disease. Expected source values are Pulmonary or Extra-Pulmonary.","","","","","","","","","",,,,,"",,,,"NgTBLaboratoryRegister.entry.siteOfDisease",0,1,"","","Patient Data: Site of Disease - Pulmonary / Extra-Pulmonary"
"NgTBLaboratoryRegister.entry.healthCareWorker","NgTBLaboratoryRegister.entry.healthCareWorker","","","",0,1,"","","","boolean {[]} {[]}
","Health care worker","Indicates whether the patient is a health care worker.","","","","","","","","","",,,,,"",,,,"NgTBLaboratoryRegister.entry.healthCareWorker",0,1,"","","Patient Data: Health care worker (Indicate Y/N)"
"NgTBLaboratoryRegister.entry.previouslyKnownHivStatus","NgTBLaboratoryRegister.entry.previouslyKnownHivStatus","","","",0,1,"","","","code {[]} {[]}
","Previously known HIV status","HIV status known before presentation to the laboratory. Expected source values are Positive, Negative or Unknown.","","","","","","","","","",,,,,"",,,,"NgTBLaboratoryRegister.entry.previouslyKnownHivStatus",0,1,"","","HIV Status: Previously Known HIV status - Positive / Negative / Unknown"
"NgTBLaboratoryRegister.entry.laboratoryHivTestStatus","NgTBLaboratoryRegister.entry.laboratoryHivTestStatus","","","",0,1,"","","","code {[]} {[]}
","Tested for HIV in the laboratory","HIV testing status/result recorded by the laboratory. Expected source values are Positive, Negative or Not tested.","","","","","","","","","",,,,,"",,,,"NgTBLaboratoryRegister.entry.laboratoryHivTestStatus",0,1,"","","HIV Status: Tested for HIV in the lab - Positive / Negative / Not tested"
"NgTBLaboratoryRegister.entry.specimenType","NgTBLaboratoryRegister.entry.specimenType","","","",1,1,"","","","string {[]} {[]}
","Type of specimen","Type of specimen submitted to the laboratory, for example sputum or another clinical specimen.","","","","","","","","","",,,,,"",,,,"NgTBLaboratoryRegister.entry.specimenType",1,1,"","","Specimen Information: Type of specimen (Specify)"
"NgTBLaboratoryRegister.entry.testRequired","NgTBLaboratoryRegister.entry.testRequired","","","",1,1,"","","","string {[]} {[]}
","Type of test required","Laboratory test requested for the specimen.","","","","","","","","","",,,,,"",,,,"NgTBLaboratoryRegister.entry.testRequired",1,1,"","","Specimen Information: Type of Test Required (Specify test)"
"NgTBLaboratoryRegister.entry.xpertResult","NgTBLaboratoryRegister.entry.xpertResult","","","",0,1,"","","","BackboneElement {[]} {[]}
","Xpert MTB/RIF result","Results of Xpert MTB/RIF testing when performed.","","","","","","","","","",,,,,"",,,,"NgTBLaboratoryRegister.entry.xpertResult",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
